Feature,Importance
feature_2,0.20725103645181994
feature_15,0.1378830541743167
feature_8,0.08741636030549635
feature_6,0.07120006770327984
feature_14,0.06997349752026509
feature_12,0.059469141232675965
feature_13,0.05878213898862574
feature_7,0.05248109211268547
feature_0,0.0494118835992498
feature_16,0.04894738257859171
feature_5,0.04217598051848396
feature_4,0.03621250378256419
feature_10,0.032884169772237654
feature_9,0.03115405089161362
feature_1,0.00941818324468373
feature_11,0.0030618094515080805
feature_17,0.002277647671902218
feature_3,0.0
